id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,253.46,3821450509,39,4056499454,163345668,257.9,250.6,-3.1241625095830727,-1.21761,-50541887.080590725,-1.30532,15072899.391238686,16000000.0,16000000.0,661.69,-61.77036,2021-05-18T21:19:59.514Z,26.02,872.06428,2020-11-05T09:20:11.928Z,,2025-02-16T10:19:37.268Z,,,
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,18.81,3763722473,40,18818612900,2557394573,21.21,18.19,-2.0229662331480363,-9.71229,-402169986.3215499,-9.65387,199999994.336,1000000000.0,1000000000.0,73.43,-74.39221,2025-01-19T11:50:34.806Z,4.29,338.2518,2025-01-18T03:40:29.231Z,,2025-02-16T10:19:35.213Z,,,
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999703,3490709879,41,3490709879,169422222,1.001,0.999674,-0.000147766789010628,-0.01478,-4983679.2303676605,-0.14257,3491758413.355759,3491758413.355759,,1.22,-17.98377,2020-03-13T03:02:50.373Z,0.88196,13.3522,2023-03-11T07:50:50.514Z,,2025-02-16T10:19:29.075Z,,,
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.95,3489123781,42,6778190510,125532335,6.12,5.88,-0.12491906017895893,-2.05698,-77682937.73408508,-2.17794,586979395.1050924,1140302957.36176,,19.92,-70.20528,2023-01-26T14:25:17.390Z,3.08,92.71494,2022-12-29T21:35:14.796Z,,2025-02-16T10:19:38.510Z,,,
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.032,3473334450,43,6420127603,59239084,1.044,1.026,-0.009949151710823445,-0.95505,-28329164.216109753,-0.80902,3364694382.83684,6219316794.99,6219316794.99,1.54,-32.89041,2024-04-08T09:45:25.482Z,0.307978,235.29206,2023-10-18T02:50:46.942Z,,2025-02-16T10:19:31.859Z,,,
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,7.03,3379343311,44,3724683328,72589963,7.21,6.94,-0.14324575174919207,-1.99785,-70186545.23680449,-2.03467,480941647.7922773,530089775.5193857,,700.65,-98.99971,2021-05-10T16:05:53.653Z,2.87,144.62221,2023-09-22T00:29:57.369Z,,2025-02-16T10:19:30.673Z,,,
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.036,3317272777,45,3317272777,860753,1.049,1.028,-0.001455359748320229,-0.14025,24064055.0,0.73072,3201201493.617708,3201201493.617708,,1.088,-4.71353,2025-02-03T02:31:35.208Z,0.961716,7.79015,2025-01-04T01:21:08.460Z,,2025-02-16T10:19:40.119Z,,,
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,51.98,3118984055,46,12265804301,2856173,52.38,51.56,0.297432,0.57546,18744391.0,0.60461,60000000.0,235957685.3,300000000.0,73.8,-29.54741,2024-03-14T00:30:12.502Z,0.580608,8855.50284,2019-01-14T00:00:00.000Z,,2025-02-16T10:19:34.933Z,,,
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,20.69,3118757898,47,3118757898,68369157,21.22,20.52,-0.4261858923767434,-2.01874,-65447625.01826239,-2.05538,150772380.7893977,150772380.7893977,210700000.0,167.09,-87.61652,2021-05-06T18:34:22.133Z,0.615038,3264.18068,2016-07-25T00:00:00.000Z,,2025-02-16T10:19:35.104Z,44.96730940665369,usd,4496.7309406653685
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,368.01,3092078377,48,7748736640,73013889,385.84,363.62,-13.965663614021935,-3.65619,-110524658.95993519,-3.45109,8379901.0,21000000.0,21000000.0,757.6,-51.48525,2024-03-07T18:45:36.466Z,30.83,1092.18462,2023-05-14T08:57:53.732Z,,2025-02-16T10:19:38.401Z,,,
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,23.26,2926352078,49,6977723813,10012884,23.79,23.21,-0.0521478158567561,-0.2237,-5930258.181135654,-0.20224,125815473.19980882,300000000.0,,25.94,-10.35504,2025-01-25T03:07:37.823Z,0.25754,8929.03025,2020-03-13T02:18:02.481Z,,2025-02-16T10:19:33.036Z,,,
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.110479,2848292234,50,2848403450,64853608,0.111877,0.105664,0.00481494,4.55683,133394109.0,4.91341,25711058930.79546,25712062855.76427,28704026601.0,0.207411,-46.86723,2024-08-01T00:40:47.164Z,0.00017105,64327.63926,2022-05-26T14:42:59.316Z,,2025-02-16T10:19:31.271Z,,,
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.326115,2793015621,51,3379755482,58613922,0.326134,0.315269,0.00591392,1.84694,50185370.0,1.82969,8563031206.989078,10361901110.26989,,1.29,-74.74923,2024-03-13T18:55:06.692Z,0.269234,20.75701,2025-02-03T02:11:32.978Z,,2025-02-16T10:19:37.057Z,,,
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.03388778,2744403196,52,2913842092,28548246,0.03474053,0.03328083,-0.000537042473928613,-1.56004,-45021190.97966766,-1.614,80985041177.0,85985041177.0,86712634466.0,0.280991,-87.96842,2021-04-19T01:08:21.675Z,0.00191713,1663.44881,2020-03-13T02:29:59.652Z,,2025-02-16T10:19:29.603Z,3.3850151067880394,eth,338.5015106788039
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,31.9,2551673341,53,3189751202,20829114,32.0,31.77,0.079731,0.25059,8719113.0,0.34287,79995999.05112354,100000000.0,100000000.0,50.43,-36.69679,2025-01-03T19:12:43.038Z,0.111255,28595.11059,2019-04-28T00:00:00.000Z,,2025-02-16T10:19:27.685Z,108.80210677313404,usd,10880.210677313404
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,97325.0,2497241702,54,2497241702,103220639,97857.0,97047.0,-177.76471608746215,-0.18232,-10380699.630613804,-0.41397,25658.70048914,25658.70048914,,108953.0,-10.61829,2025-01-20T09:20:53.854Z,57439.0,69.54388,2024-09-12T14:07:41.775Z,,2025-02-16T10:19:26.886Z,,,
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.922058,2433861715,55,6459668276,200565243,0.957803,0.915111,-0.008169092248323073,-0.87818,-22300857.883411884,-0.90796,2637438888.89,6999978765.264874,10000000000.0,2.0,-53.81608,2024-01-31T15:02:47.304Z,0.457464,101.91413,2024-02-21T18:31:05.083Z,,2025-02-16T10:19:30.435Z,,,
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.088326,2412006053,56,2649725347,14610941,0.090643,0.087369,-0.002078026912834277,-2.29861,-56113139.39862108,-2.27352,27308559228.61946,30000000000.0,,0.965407,-90.85368,2021-11-24T15:53:54.855Z,0.0121196,628.56528,2019-02-08T00:00:00.000Z,,2025-02-16T10:19:39.815Z,,,
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.59,2380382485,57,2448247527,66896842,4.65,4.5,-0.032476239777481375,-0.70208,-18178737.70611477,-0.7579,517716590.0562826,532476763.3362826,,13.53,-66.15871,2024-03-17T16:30:24.636Z,0.03665669,12395.16802,2020-06-16T13:22:25.900Z,,2025-02-16T10:19:38.802Z,,,
